145,0,45000,45000
145,1,970,970
145,2,1940,1940
145,3,41710,41710
146,0,13000,13000
146,1,0,0
146,2,0,0
146,3,0,0
1593,0,100,100
1593,1,0,0
1593,2,70,70
1595,0,500,500
1595,1,0,0
1595,2,180,180
1596,0,120,120
1596,1,0,0
1596,2,240,240
1807,0,0,0
1807,1,350,350
1807,2,0,0
1808,1,0,0
1808,2,1050,1050
1808,3,0,0
1810,0,0,0
1810,1,350,350
1810,2,0,0
1811,0,0,0
1811,1,350,350
1811,3,0,0
1812,0,0,0
1812,1,350,350
1812,2,0,0
1813,0,0,0
1813,1,350,350
1813,2,0,0
1838,0,35,35
1838,1,60,60
1838,2,0,0
1838,3,0,0
1839,0,0,0
1839,1,70,70
1839,2,70,70
1839,3,70,70
1841,0,145,145
1841,1,120,120
1841,2,60,60
1841,3,60,60
1842,0,60,60
1842,1,60,60
1842,2,60,60
1842,3,60,60
1846,0,0,0
1846,1,0,0
1846,2,120,120
1846,3,240,240
1868,0,120,120
1868,1,120,120
1868,2,120,120
1868,3,120,120
1877,0,0,0
1877,1,35,35
1877,2,0,0
1877,3,0,0
1878,0,0,0
1878,1,15,15
1878,2,28,28
1878,3,56,56
1879,0,0,0
1879,1,15,15
1879,2,37,37
1879,3,74,74
1929,0,400,400
1929,1,400,400
1929,2,400,400
1929,3,400,400
2193,2,0,0
2193,3,265,265
2319,0,40,40
2319,1,175,175
2319,2,185,185
2319,3,195,195
2320,0,40,40
2320,1,121,121
2320,2,131,131
2320,3,141,141
2321,0,40,40
2321,1,84,84
2321,2,94,94
2321,3,104,104
2322,0,40,40
2322,1,40,40
2322,2,40,40
2322,3,40,40
2324,0,80,80
2324,1,143,143
2324,2,113,113
2324,3,83,83
2325,0,80,80
2325,1,179,179
2325,2,149,149
2325,3,119,119
2326,0,133,133
2326,1,160,160
2326,2,110,110
2326,3,60,60
2327,0,120,120
2327,1,286,286
2327,2,226,226
2327,3,166,166
2332,0,54,54
2332,1,50,50
2332,2,40,40
2332,3,30,30
2333,0,0,0
2333,1,5,5
2333,2,5,5
2333,3,5,5
2334,0,20,20
2334,1,70,70
2334,2,80,80
2334,3,90,90
2335,0,50,50
2335,1,50,50
2335,2,40,40
2335,3,30,30
2337,0,0,0
2337,1,20,20
2337,2,51,51
2337,3,82,82
2341,0,0,0
2341,1,16,16
2341,2,16,16
2341,3,16,16
2342,0,0,0
2342,1,40,40
2342,2,66,66
2342,3,163,163
2343,0,0,0
2343,1,198,198
2343,2,436,436
2343,3,768,768
2344,0,13,13
2344,1,92,92
2344,2,421,421
2344,3,876,876
2345,0,66,66
2345,1,236,236
2345,2,331,331
2345,3,643,643
2346,0,238,238
2346,1,410,410
2346,2,473,473
2346,3,704,704
2347,0,189,189
2347,1,532,532
2347,2,656,656
2347,3,953,953
2359,0,0,0
2359,1,31,31
2359,2,81,81
2359,3,131,131
2363,0,0,0
2363,1,9,9
2363,2,24,24
2363,3,39,39
2364,0,0,0
2364,1,46,46
2364,2,70,70
2364,3,95,95
2366,0,0,0
2366,1,171,171
2366,2,376,376
2366,3,581,581
2367,0,2200,2200
2367,1,1600,1600
2367,2,400,400
2367,3,0,0
2383,0,0,0
2383,1,32,32
2383,2,32,32
2383,3,32,32
2401,0,0,0
2401,1,13,13
2401,2,14,14
2401,3,40,40
2403,0,0,0
2403,1,0,0
2403,2,15,15
2403,3,30,30
2409,0,0,0
2409,1,0,0
2409,2,13,13
2409,3,97,97
2412,0,0,0
2412,1,0,0
2412,2,3,3
2412,3,22,22
2414,0,0,0
2414,1,15,15
2414,2,15,15
2414,3,15,15
2417,0,0,0
2417,1,0,0
2417,2,4,4
2417,3,32,32
2418,0,0,0
2418,1,0,0
2418,2,2,2
2418,3,15,15
2420,0,0,0
2420,1,11,11
2420,2,12,12
2420,3,17,17
2425,0,318,318
2425,1,248,248
2425,2,128,128
2425,3,0,0
2426,0,0,0
2426,1,0,0
2426,2,7,7
2426,3,14,14
2427,0,0,0
2427,1,0,0
2427,2,3,3
2427,3,6,6
2428,0,0,0
2428,1,0,0
2428,2,7,7
2428,3,14,14
2438,0,276,276
2438,1,252,252
2438,2,218,218
2438,3,0,0
2439,0,0,0
2439,1,21,21
2439,2,26,26
2439,3,31,31
2443,0,0,0
2443,1,10,10
2443,2,10,10
2443,3,10,10
2444,0,0,0
2444,1,42,42
2444,2,53,53
2444,3,125,125
2448,0,0,0
2448,1,0,0
2448,2,7,7
2448,3,14,14
2451,0,145,145
2451,1,172,172
2451,2,167,167
2451,3,119,119
2452,0,0,0
2452,1,10,10
2452,2,20,20
2452,3,47,47
2453,0,0,0
2453,1,12,12
2453,2,14,14
2453,3,27,27
2455,0,0,0
2455,1,0,0
2455,2,3,3
2455,3,19,19
2456,0,0,0
2456,1,50,50
2456,2,62,62
2456,3,109,109
2457,0,556,556
2457,1,512,512
2457,2,475,475
2457,3,190,190
2460,0,84,84
2460,1,80,80
2460,2,90,90
2460,3,27,27
2462,0,247,247
2462,1,235,235
2462,2,205,205
2462,3,16,16
2464,0,0,0
2464,1,0,0
2464,2,50,50
2464,3,372,372
2466,0,0,0
2466,1,20,20
2466,2,25,25
2466,3,55,55
2472,0,0,0
2472,1,10,10
2472,2,10,10
2472,3,10,10
2493,0,516,516
2493,1,552,552
2493,2,780,780
2493,3,780,780
2495,0,0,0
2495,1,32,32
2495,2,32,32
2495,3,32,32
2499,0,70,70
2499,1,416,416
2499,2,416,416
2499,3,416,416
2501,0,0,0
2501,1,20,20
2501,2,20,20
2501,3,20,20
2502,0,117,117
2502,1,65,65
2502,2,65,65
2502,3,65,65
