1,2,2,8932,166,4.795,493.81
2,1,1,8932,166,4.795,493.81
3,3,3,8932,166,4.795,493.81
4,2,2,8931,166,7.459,507.85
5,1,1,8931,166,7.459,507.85
6,3,3,8931,166,7.459,507.85
7,2,2,8933,166,6.66,418.93
8,1,1,8933,166,6.66,418.93
9,3,3,8933,166,6.66,418.93
10,2,2,8934,166,8.951,361.19
11,1,1,8934,166,8.951,361.19
12,3,3,8934,166,8.951,361.19
13,2,2,9038,169,1.79,415
14,1,1,9038,169,1.79,415
15,3,3,9038,169,1.79,415
16,2,2,9039,169,2.584,611.29
17,1,1,9039,169,2.584,611.29
18,3,3,9039,169,2.584,611.29
19,2,2,8982,169,1.245,-708.83
20,1,1,8982,169,1.245,-708.83
21,3,3,8982,169,1.245,-708.83
22,2,2,8983,169,1.431,-324.29
23,1,1,8983,169,1.431,-324.29
24,3,3,8983,169,1.431,-324.29
25,2,2,8984,169,2.179,169.35
26,1,1,8984,169,2.179,169.35
27,3,3,8984,169,2.179,169.35
28,2,2,8985,169,2.691,334.44
29,1,1,8985,169,2.691,334.44
30,3,3,8985,169,2.691,334.44
31,2,2,8986,169,2.461,429.26
32,1,1,8986,169,2.461,429.26
33,3,3,8986,169,2.461,429.26
34,2,2,8987,169,2.399,374.65
35,1,1,8987,169,2.399,374.65
36,3,3,8987,169,2.399,374.65
37,2,2,8994,169,1.245,-521.89
38,1,1,8994,169,1.245,-521.89
39,3,3,8994,169,1.245,-521.89
40,2,2,8995,169,1.431,-181.86
41,1,1,8995,169,1.431,-181.86
42,3,3,8995,169,1.431,-181.86
43,2,2,8996,169,1.79,345.43
44,1,1,8996,169,1.79,345.43
45,3,3,8996,169,1.79,345.43
46,2,2,8997,169,2.179,267.27
47,1,1,8997,169,2.179,267.27
48,3,3,8997,169,2.179,267.27
49,2,2,8998,169,2.691,432.36
50,1,1,8998,169,2.691,432.36
51,3,3,8998,169,2.691,432.36
52,2,2,8999,169,2.461,527.19
53,1,1,8999,169,2.461,527.19
54,3,3,8999,169,2.461,527.19
55,2,2,9000,169,2.584,497.21
56,1,1,9000,169,2.584,497.21
57,3,3,9000,169,2.584,497.21
58,2,2,9001,169,2.399,472.57
59,1,1,9001,169,2.399,472.57
60,3,3,9001,169,2.399,472.57
61,2,2,15071,171,1.008,2024.93
62,1,1,15071,171,1.008,2024.93
63,3,3,15071,171,1.008,2024.93
64,2,2,9029,171,0.774,2081.46
65,1,1,9029,171,0.774,2081.46
66,3,3,9029,171,0.774,2081.46
67,2,2,9030,171,1.814,1083.28
68,1,1,9030,171,1.814,1083.28
69,3,3,9030,171,1.814,1083.28
70,2,2,9036,171,1.008,1319.29
71,1,1,9036,171,1.008,1319.29
72,3,3,9036,171,1.008,1319.29
73,2,2,9045,171,1.593,1622.1
74,1,1,9045,171,1.593,1622.1
75,3,3,9045,171,1.593,1622.1
76,2,2,9068,171,1.023,1563.56
77,1,1,9068,171,1.023,1563.56
78,3,3,9068,171,1.023,1563.56
79,2,2,9069,171,1.332,1374.36
80,1,1,9069,171,1.332,1374.36
81,3,3,9069,171,1.332,1374.36
82,2,2,9070,171,2.0813,1364.37
83,1,1,9070,171,2.0813,1364.37
84,3,3,9070,171,2.0813,1364.37
85,2,2,9076,171,1.023,2230.69
86,1,1,9076,171,1.023,2230.69
87,3,3,9076,171,1.023,2230.69
88,2,2,9077,171,1.332,1799.81
89,1,1,9077,171,1.332,1799.81
90,3,3,9077,171,1.332,1799.81
91,2,2,15072,171,1.814,789.01
92,1,1,15072,171,1.814,789.01
93,3,3,15072,171,1.814,789.01
94,2,2,15075,171,1.008,1025.03
95,1,1,15075,171,1.008,1025.03
96,3,3,15075,171,1.008,1025.03
97,2,2,15076,171,0.774,1787.19
98,1,1,15076,171,0.774,1787.19
99,3,3,15076,171,0.774,1787.19
100,2,2,15121,171,0.774,1794.21
101,1,1,15121,171,0.774,1794.21
102,3,3,15121,171,0.774,1794.21
103,2,2,15122,171,2.39,1926.85
104,1,1,15122,171,2.39,1926.85
105,3,3,15122,171,2.39,1926.85
106,2,2,15071,172,1.003,2024.93
107,1,1,15071,172,1.003,2024.93
108,3,3,15071,172,1.003,2024.93
109,2,2,9040,172,1.254,1097.44
110,1,1,9040,172,1.254,1097.44
111,3,3,9040,172,1.254,1097.44
112,2,2,8954,172,1.025,841.56
113,1,1,8954,172,1.025,841.56
114,3,3,8954,172,1.025,841.56
115,2,2,8955,172,1.025,841.56
116,1,1,8955,172,1.025,841.56
117,3,3,8955,172,1.025,841.56
118,2,2,8956,172,1.025,841.56
119,1,1,8956,172,1.025,841.56
120,3,3,8956,172,1.025,841.56
121,2,2,9027,172,1.003,1327.15
122,1,1,9027,172,1.003,1327.15
123,3,3,9027,172,1.003,1327.15
124,2,2,9064,172,1.678,1048.1
125,1,1,9064,172,1.678,1048.1
126,3,3,9064,172,1.678,1048.1
127,2,2,15073,172,1.003,1032.88
128,1,1,15073,172,1.003,1032.88
129,3,3,15073,172,1.003,1032.88
130,2,2,15074,172,1.254,803.17
131,1,1,15074,172,1.254,803.17
